state,target,city
New York,"Poughkeepsie city, New York",City
New York,"Saratoga Springs city, New York",City
New York,"Shirley CDP, New York",Census Defined Place (CDP)
New York,"Smithtown CDP, New York",Census Defined Place (CDP)
Kansas,"Shawnee County, Kansas",County
New York,"Spring Valley village, New York",Village
New York,"Watertown city, New York",City
Kentucky,"Campbell County, Kentucky",County
Kentucky,"Fayette County, Kentucky",County
Kentucky,"Jefferson County, Kentucky",County
Kentucky,"Kenton County, Kentucky",County
Kentucky,"Warren County, Kentucky",County
New York,"West Seneca CDP, New York",Census Defined Place (CDP)
North Carolina,"Rocky Mount city, North Carolina",City
North Carolina,"Fayetteville city, North Carolina",City
Kentucky,"Lexington-Fayette urban county, Kentucky",URB County
North Carolina,"Gastonia city, North Carolina",City
Louisiana,"Ascension Parish, Louisiana",Parish
Louisiana,"Avoyelles Parish, Louisiana",Parish
Louisiana,"Jefferson Parish, Louisiana",Parish
Louisiana,"Rapides Parish, Louisiana",Parish
Louisiana,"St. Bernard Parish, Louisiana",Parish
Louisiana,"St. Charles Parish, Louisiana",Parish
Louisiana,"St. Tammany Parish, Louisiana",Parish
Louisiana,"Terrebonne Parish, Louisiana",Parish
North Carolina,"Goldsboro city, North Carolina",City
North Carolina,"Hickory city, North Carolina",City
North Carolina,"High Point city, North Carolina",City
North Carolina,"Kannapolis city, North Carolina",City
North Carolina,"Salisbury city, North Carolina",City
North Carolina,"Thomasville city, North Carolina",City
Maine,"Androscoggin County, Maine",County
Maine,"Kennebec County, Maine",County
Maine,"Penobscot County, Maine",County
North Carolina,"Wilson city, North Carolina",City
Maryland,"Calvert County, Maryland",County
Maryland,"Cecil County, Maryland",County
Maryland,"Charles County, Maryland",County
Maryland,"Harford County, Maryland",County
Maryland,"St. Mary's County, Maryland",County
Maryland,"Washington County, Maryland",County
Maryland,"Wicomico County, Maryland",County
North Carolina,"Asheboro city, North Carolina",City
North Carolina,"Burlington city, North Carolina",City
North Carolina,"Garner town, North Carolina",Town
North Carolina,"Greensboro city, North Carolina",City
North Carolina,"Greenville city, North Carolina",City
North Carolina,"Jacksonville city, North Carolina",City
North Carolina,"Monroe city, North Carolina",City
North Carolina,"New Bern city, North Carolina",City
North Carolina,"Sanford city, North Carolina",City
Massachusetts,"Bristol County, Massachusetts",County
Massachusetts,"Hampden County, Massachusetts",County
Massachusetts,"Worcester County, Massachusetts",County
North Carolina,"Statesville city, North Carolina",City
North Carolina,"Wilmington city, North Carolina",City
North Carolina,"Winston-Salem city, North Carolina",City
North Dakota,"Williston city, North Dakota",City
North Dakota,"Minot city, North Dakota",City
Ohio,"Cleveland city, Ohio",City
Ohio,"Dayton city, Ohio",City
Ohio,"Lima city, Ohio",City
Ohio,"Mansfield city, Ohio",City
Michigan,"Allegan County, Michigan",County
Michigan,"Berrien County, Michigan",County
Michigan,"Ingham County, Michigan",County
Michigan,"Jackson County, Michigan",County
Michigan,"Kalamazoo County, Michigan",County
Michigan,"Lenawee County, Michigan",County
Michigan,"Saginaw County, Michigan",County
Michigan,"St. Clair County, Michigan",County
Ohio,"Marion city, Ohio",City
Ohio,"Youngstown city, Ohio",City
Ohio,"Akron city, Ohio",City
Ohio,"Barberton city, Ohio",City
Ohio,"Canton city, Ohio",City
Ohio,"Cincinnati city, Ohio",City
Ohio,"Cleveland Heights city, Ohio",City
Ohio,"Garfield Heights city, Ohio",City
Minnesota,"St. Louis County, Minnesota",County
Mississippi,"Harrison County, Mississippi",County
Mississippi,"Madison County, Mississippi",County
Mississippi,"Rankin County, Mississippi",County
Ohio,"Hamilton city, Ohio",City
Ohio,"Lorain city, Ohio",City
Ohio,"Massillon city, Ohio",City
Missouri,"Franklin County, Missouri",County
Missouri,"Jefferson County, Missouri",County
Missouri,"St. Louis County, Missouri",County
Ohio,"Middletown city, Ohio",City
Ohio,"Riverside city, Ohio",City
Ohio,"Sandusky city, Ohio",City
Ohio,"Springfield city, Ohio",City
Ohio,"Toledo city, Ohio",City
Ohio,"Warren city, Ohio",City
Ohio,"Xenia city, Ohio",City
Ohio,"Zanesville city, Ohio",City
Ohio,"Boardman CDP, Ohio",Census Defined Place (CDP)
Ohio,"Columbus city, Ohio",City
Nevada,"Clark County, Nevada",County
Ohio,"Cuyahoga Falls city, Ohio",City
Ohio,"Elyria city, Ohio",City
Ohio,"Euclid city, Ohio",City
Ohio,"Fairborn city, Ohio",City
Ohio,"Findlay city, Ohio",City
Ohio,"Green city, Ohio",City
New Jersey,"Atlantic County, New Jersey",County
New Jersey,"Burlington County, New Jersey",County
New Jersey,"Essex County, New Jersey",County
New Jersey,"Gloucester County, New Jersey",County
New Jersey,"Monmouth County, New Jersey",County
New Jersey,"Passaic County, New Jersey",County
New Jersey,"Sussex County, New Jersey",County
New Jersey,"Warren County, New Jersey",County
Ohio,"Huber Heights city, Ohio",City
Ohio,"Kent city, Ohio",City
Ohio,"Kettering city, Ohio",City
Ohio,"Lakewood city, Ohio",City
Ohio,"Lancaster city, Ohio",City
Ohio,"Newark city, Ohio",City
Ohio,"North Olmsted city, Ohio",City
Ohio,"Shaker Heights city, Ohio",City
Ohio,"Troy city, Ohio",City
New Jersey,"Princeton, New Jersey",???
Ohio,"Wooster city, Ohio",City
Oklahoma,"Muskogee city, Oklahoma",City
Oklahoma,"Bartlesville city, Oklahoma",City
New Mexico,"Bernalillo County, New Mexico",County
New Mexico,"Doña Ana County, New Mexico",County
New Mexico,"Sandoval County, New Mexico",County
New Mexico,"Santa Fe County, New Mexico",County
Oklahoma,"Oklahoma City city, Oklahoma",City
Oklahoma,"Shawnee city, Oklahoma",City
Oklahoma,"Enid city, Oklahoma",City
Oklahoma,"Lawton city, Oklahoma",City
New York,"Chautauqua County, New York",County
New York,"Dutchess County, New York",County
New York,"Jefferson County, New York",County
New York,"Kings County, New York",County
New York,"Monroe County, New York",County
New York,"Onondaga County, New York",County
New York,"Orange County, New York",County
New York,"Putnam County, New York",County
New York,"Queens County, New York",County
New York,"St. Lawrence County, New York",County
New York,"Saratoga County, New York",County
New York,"Wayne County, New York",County
Oklahoma,"Midwest City city, Oklahoma",City
Oklahoma,"Stillwater city, Oklahoma",City
Oklahoma,"Tulsa city, Oklahoma",City
Oregon,"Woodburn city, Oregon",City
Pennsylvania,"Chester city, Pennsylvania",City
Pennsylvania,"Harrisburg city, Pennsylvania",City
Pennsylvania,"Wilkes-Barre city, Pennsylvania",City
Pennsylvania,"Altoona city, Pennsylvania",City
Pennsylvania,"Easton city, Pennsylvania",City
Pennsylvania,"Philadelphia city, Pennsylvania",City
Pennsylvania,"Pittsburgh city, Pennsylvania",City
Pennsylvania,"Reading city, Pennsylvania",City
Pennsylvania,"Scranton city, Pennsylvania",City
Pennsylvania,"York city, Pennsylvania",City
Pennsylvania,"Norristown borough, Pennsylvania",Borough
Pennsylvania,"Drexel Hill CDP, Pennsylvania",Census Defined Place (CDP)
Pennsylvania,"Erie city, Pennsylvania",City
Pennsylvania,"Lancaster city, Pennsylvania",City
Pennsylvania,"Lebanon city, Pennsylvania",City
Pennsylvania,"Plum borough, Pennsylvania",Borough
North Carolina,"Alamance County, North Carolina",County
North Carolina,"Buncombe County, North Carolina",County
North Carolina,"Cabarrus County, North Carolina",County
North Carolina,"Durham County, North Carolina",County
North Carolina,"Forsyth County, North Carolina",County
North Carolina,"Guilford County, North Carolina",County
North Carolina,"Henderson County, North Carolina",County
North Carolina,"Iredell County, North Carolina",County
North Carolina,"Johnston County, North Carolina",County
North Carolina,"Orange County, North Carolina",County
North Carolina,"Union County, North Carolina",County
Pennsylvania,"Williamsport city, Pennsylvania",City
Rhode Island,"Pawtucket city, Rhode Island",City
Rhode Island,"Providence city, Rhode Island",City
Rhode Island,"Warwick city, Rhode Island",City
Rhode Island,"Woonsocket city, Rhode Island",City
South Carolina,"Anderson city, South Carolina",City
South Carolina,"Florence city, South Carolina",City
South Carolina,"Spartanburg city, South Carolina",City
South Carolina,"Sumter city, South Carolina",City
South Carolina,"Aiken city, South Carolina",City
South Carolina,"Columbia city, South Carolina",City
South Carolina,"Greenville city, South Carolina",City
South Carolina,"North Charleston city, South Carolina",City
Ohio,"Clermont County, Ohio",County
Ohio,"Fairfield County, Ohio",County
Ohio,"Franklin County, Ohio",County
Ohio,"Greene County, Ohio",County
Ohio,"Lake County, Ohio",County
Ohio,"Licking County, Ohio",County
Ohio,"Lorain County, Ohio",County
Ohio,"Miami County, Ohio",County
Ohio,"Portage County, Ohio",County
Ohio,"Trumbull County, Ohio",County
Ohio,"Tuscarawas County, Ohio",County
Ohio,"Wayne County, Ohio",County
South Carolina,"Rock Hill city, South Carolina",City
South Carolina,"Summerville town, South Carolina",Town
Tennessee,"Bristol city, Tennessee",City
Tennessee,"Jackson city, Tennessee",City
Tennessee,"Memphis city, Tennessee",City
Tennessee,"Morristown city, Tennessee",City
Tennessee,"Oak Ridge city, Tennessee",City
Tennessee,"Chattanooga city, Tennessee",City
Tennessee,"Clarksville city, Tennessee",City
Tennessee,"Cleveland city, Tennessee",City
Tennessee,"Columbia city, Tennessee",City
Tennessee,"Cookeville city, Tennessee",City
Tennessee,"Johnson City city, Tennessee",City
Tennessee,"Kingsport city, Tennessee",City
Tennessee,"Knoxville city, Tennessee",City
Tennessee,"Lebanon city, Tennessee",City
Tennessee,"Nashville-Davidson metropolitan government (balance), Tennessee",Metro Gov (Bal)
Texas,"Fort Hood CDP, Texas",Census Defined Place (CDP)
Oklahoma,"Comanche County, Oklahoma",County
Oklahoma,"Rogers County, Oklahoma",County
Oklahoma,"Tulsa County, Oklahoma",County
Texas,"Port Arthur city, Texas",City
Texas,"Texarkana city, Texas",City
Texas,"Abilene city, Texas",City
Texas,"Beaumont city, Texas",City
Texas,"Big Spring city, Texas",City
Oregon,"Douglas County, Oregon",County
Texas,"Del Rio city, Texas",City
Pennsylvania,"Adams County, Pennsylvania",County
Pennsylvania,"Berks County, Pennsylvania",County
Pennsylvania,"Butler County, Pennsylvania",County
Pennsylvania,"Cumberland County, Pennsylvania",County
Pennsylvania,"Dauphin County, Pennsylvania",County
Pennsylvania,"Delaware County, Pennsylvania",County
Pennsylvania,"Erie County, Pennsylvania",County
Pennsylvania,"Franklin County, Pennsylvania",County
Pennsylvania,"Lackawanna County, Pennsylvania",County
Pennsylvania,"Lebanon County, Pennsylvania",County
Pennsylvania,"Lycoming County, Pennsylvania",County
Pennsylvania,"Monroe County, Pennsylvania",County
Pennsylvania,"Northampton County, Pennsylvania",County
Texas,"Galveston city, Texas",City
Texas,"Harlingen city, Texas",City
Texas,"Kingsville city, Texas",City
Texas,"Nacogdoches city, Texas",City
Pennsylvania,"Monroeville municipality, Pennsylvania",Municipality
Texas,"Texas City city, Texas",City
Texas,"Waco city, Texas",City
Rhode Island,"Kent County, Rhode Island",County
Rhode Island,"Providence County, Rhode Island",County
Texas,"Wichita Falls city, Texas",City
Texas,"West Odessa CDP, Texas",Census Defined Place (CDP)
South Carolina,"Berkeley County, South Carolina",County
South Carolina,"Dorchester County, South Carolina",County
South Carolina,"Greenville County, South Carolina",County
South Carolina,"Horry County, South Carolina",County
South Carolina,"Lexington County, South Carolina",County
South Carolina,"Pickens County, South Carolina",County
South Carolina,"York County, South Carolina",County
Texas,"Amarillo city, Texas",City
Texas,"Baytown city, Texas",City
Texas,"Cleburne city, Texas",City
Texas,"Conroe city, Texas",City
Texas,"Copperas Cove city, Texas",City
Texas,"Corpus Christi city, Texas",City
Tennessee,"Blount County, Tennessee",County
Tennessee,"Bradley County, Tennessee",County
Tennessee,"Davidson County, Tennessee",County
Tennessee,"Hamilton County, Tennessee",County
Tennessee,"Knox County, Tennessee",County
Tennessee,"Montgomery County, Tennessee",County
Tennessee,"Sevier County, Tennessee",County
Tennessee,"Sumner County, Tennessee",County
Tennessee,"Washington County, Tennessee",County
Texas,"Dallas city, Texas",City
Texas,"Duncanville city, Texas",City
Texas,"Eagle Pass city, Texas",City
Texas,"Edinburg city, Texas",City
Texas,"Grand Prairie city, Texas",City
Texas,"Greenville city, Texas",City
Texas,"Houston city, Texas",City
Texas,"Huntsville city, Texas",City
Texas,"Killeen city, Texas",City
Texas,"Longview city, Texas",City
Texas,"Bell County, Texas",County
Texas,"Brazoria County, Texas",County
Texas,"Cameron County, Texas",County
Texas,"Ector County, Texas",County
Texas,"Ellis County, Texas",County
Texas,"Gregg County, Texas",County
Texas,"Hidalgo County, Texas",County
Texas,"Johnson County, Texas",County
Texas,"Kaufman County, Texas",County
Texas,"Lubbock County, Texas",County
Texas,"Montgomery County, Texas",County
Texas,"Nueces County, Texas",County
Texas,"Randall County, Texas",County
Texas,"Tom Green County, Texas",County
Texas,"Victoria County, Texas",County
Texas,"Lubbock city, Texas",City
Texas,"Lufkin city, Texas",City
Texas,"Odessa city, Texas",City
Texas,"Rosenberg city, Texas",City
Texas,"San Angelo city, Texas",City
Texas,"Seguin city, Texas",City
Texas,"Sherman city, Texas",City
Texas,"Socorro city, Texas",City
Texas,"Temple city, Texas",City
Texas,"Tyler city, Texas",City
Texas,"Victoria city, Texas",City
Texas,"Weatherford city, Texas",City
Texas,"Weslaco city, Texas",City
Utah,"Clearfield city, Utah",City
Utah,"Holladay city, Utah",City
Utah,"Ogden city, Utah",City
Utah,"Salt Lake City city, Utah",City
Virginia,"Danville city, Virginia",City
Virginia,"Petersburg city, Virginia",City
Virginia,"Lynchburg city, Virginia",City
Virginia,"Richmond city, Virginia",City
Virginia,"Lynchburg city, Virginia",City
Virginia,"Richmond city, Virginia",City
Virginia,"Alexandria city, Virginia",City
Virginia,"Hampton city, Virginia",City
Virginia,"Newport News city, Virginia",City
Virginia,"Norfolk city, Virginia",City
Virginia,"Portsmouth city, Virginia",City
Virginia,"Roanoke city, Virginia",City
Virginia,"Salem city, Virginia",City
Virginia,"Suffolk city, Virginia",City
Virginia,"Winchester city, Virginia",City
Virginia,"Alexandria city, Virginia",City
Virginia,"Albemarle County, Virginia",County
Virginia,"Montgomery County, Virginia",County
Virginia,"Hampton city, Virginia",City
Virginia,"Newport News city, Virginia",City
Virginia,"Norfolk city, Virginia",City
Virginia,"Portsmouth city, Virginia",City
Virginia,"Roanoke city, Virginia",City
Virginia,"Salem city, Virginia",City
Virginia,"Suffolk city, Virginia",City
Virginia,"Winchester city, Virginia",City
Washington,"Wenatchee city, Washington",City
Washington,"Spanaway CDP, Washington",Census Defined Place (CDP)
Washington,"Bremerton city, Washington",City
Washington,"Burien city, Washington",City
Washington,"Longview city, Washington",City
Washington,"Spokane city, Washington",City
Washington,"Tacoma city, Washington",City
West Virginia,"Huntington city, West Virginia",City
West Virginia,"Charleston city, West Virginia",City
West Virginia,"Morgantown city, West Virginia",City
Washington,"Cowlitz County, Washington",County
Washington,"Grant County, Washington",County
Washington,"Kitsap County, Washington",County
Washington,"Skagit County, Washington",County
Washington,"Spokane County, Washington",County
West Virginia,"Parkersburg city, West Virginia",City
West Virginia,"Wheeling city, West Virginia",City
Wisconsin,"Beloit city, Wisconsin",City
Wisconsin,"Milwaukee city, Wisconsin",City
Wisconsin,"Racine city, Wisconsin",City
West Virginia,"Berkeley County, West Virginia",County
Wisconsin,"Milwaukee County, Wisconsin",County
Wisconsin,"Racine County, Wisconsin",County
Wisconsin,"Rock County, Wisconsin",County
Wisconsin,"Sheboygan County, Wisconsin",County
Wisconsin,"Mount Pleasant village, Wisconsin",Village
Wisconsin,"Sheboygan city, Wisconsin",City
Wisconsin,"Wausau city, Wisconsin",City
Wyoming,"Laramie County, Wyoming",County
Wyoming,"Cheyenne city, Wyoming",City
Alabama,"Lee County, Alabama",County
Alabama,"Alabaster city, Alabama",City
Alabama,"Auburn city, Alabama",City
Alabama,"Hoover city, Alabama",City
Alabama,"Madison city, Alabama",City
Alabama,"Vestavia Hills city, Alabama",City
Arizona,"Coconino County, Arizona",County
Arizona,"Maricopa County, Arizona",County
Arizona,"Yavapai County, Arizona",County
Arizona,"Yuma County, Arizona",County
Arizona,"Avondale city, Arizona",City
Arizona,"Buckeye city, Arizona",City
Arizona,"Casas Adobes CDP, Arizona",Census Defined Place (CDP)
Arizona,"Chandler city, Arizona",City
Arizona,"El Mirage city, Arizona",City
Arizona,"Flagstaff city, Arizona",City
Arizona,"Florence town, Arizona",Town
Arizona,"Fortuna Foothills CDP, Arizona",Census Defined Place (CDP)
Arizona,"Gilbert town, Arizona",Town
Arizona,"Glendale city, Arizona",City
Arizona,"Goodyear city, Arizona",City
Arizona,"Lake Havasu City city, Arizona",City
Arizona,"Marana town, Arizona",Town
Arizona,"Maricopa city, Arizona",City
Arizona,"Mesa city, Arizona",City
Arizona,"Oro Valley town, Arizona",Town
Arizona,"Peoria city, Arizona",City
Arizona,"Prescott city, Arizona",City
Arizona,"Prescott Valley town, Arizona",Town
Arizona,"Queen Creek town, Arizona",Town
Arizona,"Sahuarita town, Arizona",Town
Arizona,"San Luis city, Arizona",City
Arizona,"San Tan Valley CDP, Arizona",Census Defined Place (CDP)
Arizona,"Scottsdale city, Arizona",City
Arizona,"Sun City CDP, Arizona",Census Defined Place (CDP)
Arizona,"Sun City West CDP, Arizona",Census Defined Place (CDP)
Arizona,"Surprise city, Arizona",City
Arizona,"Yuma city, Arizona",City
Arkansas,"Washington County, Arkansas",County
Arkansas,"Cabot city, Arkansas",City
Arkansas,"Conway city, Arkansas",City
Arkansas,"Fayetteville city, Arkansas",City
Arkansas,"Paragould city, Arkansas",City
Arkansas,"Sherwood city, Arkansas",City
Arkansas,"Springdale city, Arkansas",City
California,"Alameda County, California",County
California,"Contra Costa County, California",County
California,"El Dorado County, California",County
California,"Fresno County, California",County
California,"Los Angeles County, California",County
California,"Madera County, California",County
California,"Marin County, California",County
California,"Merced County, California",County
California,"Monterey County, California",County
California,"Nevada County, California",County
California,"Orange County, California",County
California,"Placer County, California",County
California,"Riverside County, California",County
California,"Sacramento County, California",County
California,"San Bernardino County, California",County
California,"San Diego County, California",County
California,"San Francisco County, California",County
California,"San Joaquin County, California",County
California,"San Luis Obispo County, California",County
California,"San Mateo County, California",County
California,"Santa Barbara County, California",County
California,"Santa Clara County, California",County
California,"Santa Cruz County, California",County
California,"Solano County, California",County
California,"Sonoma County, California",County
California,"Stanislaus County, California",County
California,"Sutter County, California",County
California,"Ventura County, California",County
California,"Yolo County, California",County
California,"Adelanto city, California",City
California,"Alameda city, California",City
California,"Aliso Viejo city, California",City
California,"Anaheim city, California",City
California,"Antelope CDP, California",Census Defined Place (CDP)
California,"Antioch city, California",City
California,"Apple Valley town, California",Town
California,"Arden-Arcade CDP, California",Census Defined Place (CDP)
California,"Atascadero city, California",City
California,"Atwater city, California",City
California,"Azusa city, California",City
California,"Bakersfield city, California",City
California,"Baldwin Park city, California",City
California,"Beaumont city, California",City
California,"Bell city, California",City
California,"Bellflower city, California",City
California,"Bell Gardens city, California",City
California,"Belmont city, California",City
California,"Benicia city, California",City
California,"Brea city, California",City
California,"Brentwood city, California",City
California,"Buena Park city, California",City
California,"Burbank city, California",City
California,"Burlingame city, California",City
California,"Camarillo city, California",City
California,"Campbell city, California",City
California,"Carlsbad city, California",City
California,"Carmichael CDP, California",Census Defined Place (CDP)
California,"Carson city, California",City
California,"Castro Valley CDP, California",Census Defined Place (CDP)
California,"Cathedral City city, California",City
California,"Ceres city, California",City
California,"Cerritos city, California",City
California,"Chico city, California",City
California,"Chino city, California",City
California,"Chino Hills city, California",City
California,"Chula Vista city, California",City
California,"Citrus Heights city, California",City
California,"Claremont city, California",City
California,"Clovis city, California",City
California,"Colton city, California",City
California,"Compton city, California",City
California,"Concord city, California",City
California,"Corona city, California",City
California,"Costa Mesa city, California",City
California,"Covina city, California",City
California,"Culver City city, California",City
California,"Cupertino city, California",City
California,"Cypress city, California",City
California,"Daly City city, California",City
California,"Dana Point city, California",City
California,"Danville town, California",Town
California,"Davis city, California",City
California,"Delano city, California",City
California,"Diamond Bar city, California",City
California,"Downey city, California",City
California,"Dublin city, California",City
California,"East Los Angeles CDP, California",Census Defined Place (CDP)
California,"East Palo Alto city, California",City
California,"Eastvale city, California",City
California,"El Cajon city, California",City
California,"El Dorado Hills CDP, California",Census Defined Place (CDP)
California,"Elk Grove city, California",City
California,"El Monte city, California",City
California,"El Paso de Robles (Paso Robles) city, California",City
California,"Encinitas city, California",City
California,"Escondido city, California",City
California,"Fairfield city, California",City
California,"Fair Oaks CDP, California",Census Defined Place (CDP)
California,"Fallbrook CDP, California",Census Defined Place (CDP)
California,"Florence-Graham CDP, California",Census Defined Place (CDP)
California,"Florin CDP, California",Census Defined Place (CDP)
California,"Folsom city, California",City
California,"Fontana city, California",City
California,"Foothill Farms CDP, California",Census Defined Place (CDP)
California,"Foster City city, California",City
California,"Fountain Valley city, California",City
California,"Fremont city, California",City
California,"French Valley CDP, California",Census Defined Place (CDP)
California,"Fresno city, California",City
California,"Fullerton city, California",City
California,"Galt city, California",City
California,"Gardena city, California",City
California,"Garden Grove city, California",City
California,"Gilroy city, California",City
California,"Glendale city, California",City
California,"Glendora city, California",City
California,"Goleta city, California",City
California,"Hacienda Heights CDP, California",Census Defined Place (CDP)
California,"Hawthorne city, California",City
California,"Hayward city, California",City
California,"Hercules city, California",City
California,"Hesperia city, California",City
California,"Highland city, California",City
California,"Hollister city, California",City
California,"Huntington Beach city, California",City
California,"Huntington Park city, California",City
California,"Indio city, California",City
California,"Irvine city, California",City
California,"Isla Vista CDP, California",Census Defined Place (CDP)
California,"Jurupa Valley city, California",City
California,"Ladera Ranch CDP, California",Census Defined Place (CDP)
California,"Laguna Hills city, California",City
California,"Laguna Niguel city, California",City
California,"La Habra city, California",City
California,"Lake Elsinore city, California",City
California,"Lake Forest city, California",City
California,"Lakewood city, California",City
California,"La Mirada city, California",City
California,"Lancaster city, California",City
California,"La Presa CDP, California",Census Defined Place (CDP)
California,"La Puente city, California",City
California,"La Quinta city, California",City
California,"La Verne city, California",City
California,"Lawndale city, California",City
California,"Lemon Grove city, California",City
California,"Lemoore city, California",City
California,"Lincoln city, California",City
California,"Livermore city, California",City
California,"Lodi city, California",City
California,"Lompoc city, California",City
California,"Long Beach city, California",City
California,"Los Altos city, California",City
California,"Los Angeles city, California",City
California,"Los Banos city, California",City
California,"Los Gatos town, California",Town
California,"Lynwood city, California",City
California,"Madera city, California",City
California,"Manhattan Beach city, California",City
California,"Manteca city, California",City
California,"Martinez city, California",City
California,"Maywood city, California",City
California,"Menifee city, California",City
California,"Menlo Park city, California",City
California,"Merced city, California",City
California,"Milpitas city, California",City
California,"Mission Viejo city, California",City
California,"Modesto city, California",City
California,"Monrovia city, California",City
California,"Montclair city, California",City
California,"Montebello city, California",City
California,"Monterey city, California",City
California,"Moorpark city, California",City
California,"Moreno Valley city, California",City
California,"Morgan Hill city, California",City
California,"Mountain View city, California",City
California,"Murrieta city, California",City
California,"Napa city, California",City
California,"National City city, California",City
California,"Newark city, California",City
California,"Newport Beach city, California",City
California,"Norco city, California",City
California,"North Highlands CDP, California",Census Defined Place (CDP)
California,"North Tustin CDP, California",Census Defined Place (CDP)
California,"Norwalk city, California",City
California,"Novato city, California",City
California,"Oakland city, California",City
California,"Oakley city, California",City
California,"Oceanside city, California",City
California,"Ontario city, California",City
California,"Orange city, California",City
California,"Orangevale CDP, California",Census Defined Place (CDP)
California,"Orcutt CDP, California",Census Defined Place (CDP)
California,"Oxnard city, California",City
California,"Pacifica city, California",City
California,"Palm Desert city, California",City
California,"Palo Alto city, California",City
California,"Paramount city, California",City
California,"Perris city, California",City
California,"Petaluma city, California",City
California,"Pico Rivera city, California",City
California,"Pittsburg city, California",City
California,"Placentia city, California",City
California,"Pleasant Hill city, California",City
California,"Pleasanton city, California",City
California,"Pomona city, California",City
California,"Poway city, California",City
California,"Rancho Cordova city, California",City
California,"Rancho Cucamonga city, California",City
California,"Rancho Palos Verdes city, California",City
California,"Rancho Santa Margarita city, California",City
California,"Redlands city, California",City
California,"Redondo Beach city, California",City
California,"Redwood City city, California",City
California,"Reedley city, California",City
California,"Rialto city, California",City
California,"Riverside city, California",City
California,"Rocklin city, California",City
California,"Rohnert Park city, California",City
California,"Roseville city, California",City
California,"Rowland Heights CDP, California",Census Defined Place (CDP)
California,"Sacramento city, California",City
California,"Salinas city, California",City
California,"San Bernardino city, California",City
California,"San Bruno city, California",City
California,"San Buenaventura (Ventura) city, California",City
California,"San Carlos city, California",City
California,"San Clemente city, California",City
California,"San Diego city, California",City
California,"San Dimas city, California",City
California,"San Francisco city, California",City
California,"San Jose city, California",City
California,"San Juan Capistrano city, California",City
California,"San Leandro city, California",City
California,"San Lorenzo CDP, California",Census Defined Place (CDP)
California,"San Luis Obispo city, California",City
California,"San Marcos city, California",City
California,"San Mateo city, California",City
California,"San Rafael city, California",City
California,"San Ramon city, California",City
California,"Santa Ana city, California",City
California,"Santa Barbara city, California",City
California,"Santa Clara city, California",City
California,"Santa Clarita city, California",City
California,"Santa Cruz city, California",City
California,"Santa Maria city, California",City
California,"Santa Paula city, California",City
California,"Santa Rosa city, California",City
California,"Santee city, California",City
California,"Saratoga city, California",City
California,"Seaside city, California",City
California,"Simi Valley city, California",City
California,"South Gate city, California",City
California,"South San Francisco city, California",City
California,"South Whittier CDP, California",Census Defined Place (CDP)
California,"Spring Valley CDP (San Diego County), California",CDP
California,"Stanton city, California",City
California,"Stockton city, California",City
California,"Suisun City city, California",City
California,"Sunnyvale city, California",City
California,"Temecula city, California",City
California,"Temescal Valley CDP, California",Census Defined Place (CDP)
California,"Thousand Oaks city, California",City
California,"Torrance city, California",City
California,"Tracy city, California",City
California,"Tulare city, California",City
California,"Turlock city, California",City
California,"Tustin city, California",City
California,"Union City city, California",City
California,"Upland city, California",City
California,"Vacaville city, California",City
California,"Valinda CDP, California",Census Defined Place (CDP)
California,"Vallejo city, California",City
California,"Victorville city, California",City
California,"Vineyard CDP, California",Census Defined Place (CDP)
California,"Visalia city, California",City
California,"Vista city, California",City
California,"Walnut city, California",City
California,"Walnut Creek city, California",City
California,"Wasco city, California",City
California,"Watsonville city, California",City
California,"West Covina city, California",City
California,"West Hollywood city, California",City
California,"Westminster city, California",City
California,"West Sacramento city, California",City
California,"West Whittier-Los Nietos CDP, California",Census Defined Place (CDP)
California,"Whittier city, California",City
California,"Wildomar city, California",City
California,"Windsor town, California",Town
California,"Woodland city, California",City
California,"Yorba Linda city, California",City
California,"Yuba City city, California",City
Colorado,"Adams County, Colorado",County
Colorado,"Arapahoe County, Colorado",County
Colorado,"Boulder County, Colorado",County
Colorado,"Denver County, Colorado",County
Colorado,"Douglas County, Colorado",County
Colorado,"El Paso County, Colorado",County
Colorado,"Jefferson County, Colorado",County
Colorado,"Larimer County, Colorado",County
Colorado,"Mesa County, Colorado",County
Colorado,"Weld County, Colorado",County
Colorado,"Arvada city, Colorado",City
Colorado,"Aurora city, Colorado",City
Colorado,"Boulder city, Colorado",City
Colorado,"Brighton city, Colorado",City
Colorado,"Broomfield city, Colorado",City
Colorado,"Castle Rock town, Colorado",Town
Colorado,"Centennial city, Colorado",City
Colorado,"Colorado Springs city, Colorado",City
Colorado,"Columbine CDP, Colorado",Census Defined Place (CDP)
Colorado,"Commerce City city, Colorado",City
Colorado,"Dakota Ridge CDP, Colorado",Census Defined Place (CDP)
Colorado,"Denver city, Colorado",City
Colorado,"Englewood city, Colorado",City
Colorado,"Fort Collins city, Colorado",City
Colorado,"Grand Junction city, Colorado",City
Colorado,"Greeley city, Colorado",City
Colorado,"Highlands Ranch CDP, Colorado",Census Defined Place (CDP)
Colorado,"Ken Caryl CDP, Colorado",Census Defined Place (CDP)
Colorado,"Lafayette city, Colorado",City
Colorado,"Lakewood city, Colorado",City
Colorado,"Littleton city, Colorado",City
Colorado,"Longmont city, Colorado",City
Colorado,"Loveland city, Colorado",City
Colorado,"Northglenn city, Colorado",City
